x-axis,1,2,3,F1
second,Volt,Volt,Volt,
-4.995000E-03,-483.480E-06,+2.950565E-03,-3.009814666E+00,-163.931981E-03
-4.990005E-03,-525.942E-06,+2.811696E-03,-2.981190295E+00,-187.186375E-03
-4.985010E-03,-417.274E-06,+2.861043E-03,-2.957672707E+00,-145.990086E-03
-4.980015E-03,-549.661E-06,+2.938128E-03,-2.930857381E+00,-187.174168E-03
-4.975020E-03,-480.163E-06,+2.972148E-03,-2.899343562E+00,-161.639500E-03
-4.970025E-03,-583.103E-06,+2.874058E-03,-2.869802105E+00,-202.921239E-03
-4.965030E-03,-451.068E-06,+2.828279E-03,-2.842371201E+00,-159.586278E-03
-4.960035E-03,-689.309E-06,+2.842023E-03,-2.813652608E+00,-242.652684E-03
-4.955040E-03,-688.304E-06,+2.865716E-03,-2.783771955E+00,-240.282078E-03
-4.950045E-03,-577.525E-06,+2.854334E-03,-2.755185272E+00,-202.513524E-03
-4.945050E-03,-618.530E-06,+2.894912E-03,-2.725549594E+00,-213.822117E-03
-4.940055E-03,-607.676E-06,+2.876822E-03,-2.693727986E+00,-211.336766E-03
-4.935060E-03,-584.133E-06,+2.887726E-03,-2.660945323E+00,-202.393895E-03
-4.930065E-03,-654.259E-06,+2.795867E-03,-2.632038288E+00,-234.115086E-03
-4.925070E-03,-749.887E-06,+2.815113E-03,-2.606008138E+00,-266.485692E-03
-4.920075E-03,-813.505E-06,+2.700565E-03,-2.574921455E+00,-301.358739E-03
-4.915080E-03,-777.425E-06,+2.866947E-03,-2.546579747E+00,-271.417332E-03
-4.910085E-03,-802.852E-06,+2.899535E-03,-2.516667687E+00,-277.105809E-03
-4.905090E-03,-839.460E-06,+2.804988E-03,-2.486648843E+00,-299.388524E-03
-4.900095E-03,-733.832E-06,+2.832023E-03,-2.456077235E+00,-259.239598E-03
-4.895100E-03,-767.776E-06,+2.886998E-03,-2.424324723E+00,-266.031590E-03
-4.890105E-03,-780.666E-06,+2.845440E-03,-2.394632512E+00,-274.471532E-03
-4.885110E-03,-706.545E-06,+2.840214E-03,-2.366736784E+00,-248.883153E-03
-4.880115E-03,-773.028E-06,+2.778053E-03,-2.334764422E+00,-278.397313E-03
-4.875120E-03,-708.405E-06,+2.806922E-03,-2.301868694E+00,-252.493992E-03
-4.870125E-03,-511.746E-06,+2.774058E-03,-2.273633770E+00,-184.561864E-03
-4.865130E-03,-545.817E-06,+2.879711E-03,-2.246033267E+00,-189.627782E-03
-4.860135E-03,-637.877E-06,+2.812274E-03,-2.214657640E+00,-226.956883E-03
-4.855140E-03,-653.530E-06,+2.688329E-03,-2.184663921E+00,-243.206883E-03
-4.850145E-03,-718.957E-06,+2.748003E-03,-2.158388796E+00,-261.737157E-03
-4.845150E-03,-733.103E-06,+2.722550E-03,-2.125895078E+00,-269.449559E-03
-4.840155E-03,-611.168E-06,+2.766772E-03,-2.094067189E+00,-221.026707E-03
-4.835160E-03,-604.736E-06,+2.709058E-03,-2.064908897E+00,-223.333836E-03
-4.830165E-03,-878.957E-06,+2.583480E-03,-2.036460405E+00,-340.526219E-03
-4.825170E-03,-889.711E-06,+2.582148E-03,-2.006523220E+00,-344.698582E-03
-4.820175E-03,-771.922E-06,+2.685490E-03,-1.976146336E+00,-287.589207E-03
-4.815180E-03,-703.832E-06,+2.652324E-03,-1.947748095E+00,-265.492039E-03
-4.810185E-03,-742.324E-06,+2.577877E-03,-1.920423974E+00,-288.106785E-03
-4.805190E-03,-770.766E-06,+2.579887E-03,-1.888351110E+00,-298.905125E-03
-4.800195E-03,-711.972E-06,+2.645842E-03,-1.857145081E+00,-269.193211E-03
-4.795200E-03,-796.294E-06,+2.620289E-03,-1.829883774E+00,-303.995457E-03
-4.790205E-03,-733.731E-06,+2.603505E-03,-1.797245584E+00,-281.932469E-03
-4.785210E-03,-591.043E-06,+2.580892E-03,-1.765417695E+00,-229.137059E-03
-4.780215E-03,-758.656E-06,+2.546746E-03,-1.735229253E+00,-298.026219E-03
-4.775220E-03,-744.083E-06,+2.587978E-03,-1.707258148E+00,-287.645360E-03
-4.770225E-03,-711.621E-06,+2.668656E-03,-1.679946590E+00,-266.764012E-03
-4.765230E-03,-758.178E-06,+2.630917E-03,-1.647754379E+00,-288.304539E-03
-4.760235E-03,-644.987E-06,+2.571395E-03,-1.615342319E+00,-250.975438E-03
-4.755240E-03,-702.626E-06,+2.573380E-03,-1.584312169E+00,-273.267918E-03
-4.750245E-03,-637.173E-06,+2.670942E-03,-1.558263174E+00,-238.675633E-03
-4.745250E-03,-712.123E-06,+2.642148E-03,-1.528187798E+00,-269.644871E-03
-4.740255E-03,-621.193E-06,+2.639158E-03,-1.497452873E+00,-235.501805E-03
-4.735260E-03,-614.585E-06,+2.625239E-03,-1.465461668E+00,-234.246922E-03
-4.730265E-03,-677.852E-06,+2.581194E-03,-1.436240563E+00,-262.703953E-03
-4.725270E-03,-566.394E-06,+2.689058E-03,-1.404312171E+00,-210.916844E-03
-4.720275E-03,-541.646E-06,+2.732098E-03,-1.374575990E+00,-198.380223E-03
-4.715280E-03,-795.842E-06,+2.638480E-03,-1.347880011E+00,-301.759129E-03
-4.710285E-03,-785.440E-06,+2.619284E-03,-1.319199106E+00,-299.993992E-03
-4.705290E-03,-629.033E-06,+2.755490E-03,-1.288357398E+00,-228.372899E-03
-4.700295E-03,-730.766E-06,+2.608932E-03,-1.257804635E+00,-280.247899E-03
-4.695300E-03,-773.053E-06,+2.705339E-03,-1.227119962E+00,-285.831395E-03
-4.690305E-03,-794.611E-06,+2.760867E-03,-1.199155138E+00,-287.933446E-03
-4.685310E-03,-778.480E-06,+2.743480E-03,-1.166403882E+00,-283.848973E-03
-4.680315E-03,-775.565E-06,+2.730465E-03,-1.134199108E+00,-284.132176E-03
-4.675320E-03,-709.209E-06,+2.720465E-03,-1.105003129E+00,-260.785008E-03
-4.670325E-03,-732.349E-06,+2.678455E-03,-1.076805893E+00,-273.575535E-03
-4.665330E-03,-876.646E-06,+2.574158E-03,-1.046253129E+00,-340.658055E-03
-4.660335E-03,-807.626E-06,+2.716596E-03,-1.015983029E+00,-297.545262E-03
-4.655340E-03,-583.128E-06,+2.811545E-03,-987.088557E-03,-207.489110E-03
-4.650345E-03,-536.244E-06,+2.709008E-03,-958.558407E-03,-198.072606E-03
-4.645350E-03,-598.807E-06,+2.692777E-03,-925.800869E-03,-222.513524E-03
-4.640355E-03,-614.008E-06,+2.852952E-03,-894.337302E-03,-215.279637E-03
-4.635360E-03,-689.937E-06,+2.672274E-03,-867.013182E-03,-258.263035E-03
-4.630365E-03,-556.420E-06,+2.685691E-03,-836.818458E-03,-207.281590E-03
-4.625370E-03,-619.334E-06,+2.740490E-03,-805.367454E-03,-226.092625E-03
-4.620375E-03,-455.214E-06,+2.877701E-03,-773.790821E-03,-158.255711E-03
-4.615380E-03,-578.254E-06,+2.727978E-03,-744.733032E-03,-212.091160E-03
-4.610385E-03,-678.229E-06,+2.621998E-03,-715.530771E-03,-258.795262E-03
-4.605390E-03,-511.947E-06,+2.703983E-03,-683.288309E-03,-189.615574E-03
-4.600395E-03,-384.862E-06,+2.893983E-03,-651.271978E-03,-133.126317E-03
-4.595400E-03,-308.354E-06,+2.893782E-03,-625.235546E-03,-106.656590E-03
-4.590405E-03,-453.028E-06,+2.841194E-03,-595.530773E-03,-159.549657E-03
-4.585410E-03,-425.616E-06,+2.822400E-03,-563.859919E-03,-150.955907E-03
-4.580415E-03,-437.349E-06,+2.800490E-03,-533.099869E-03,-156.273289E-03
-4.575420E-03,-301.394E-06,+2.966093E-03,-503.771980E-03,-101.749364E-03
-4.570425E-03,-176.570E-06,+3.023430E-03,-476.586050E-03,-58.475438E-03
-4.565430E-03,-233.028E-06,+2.992073E-03,-445.141327E-03,-78.018895E-03
-4.560435E-03,-375.867E-06,+2.908153E-03,-413.263187E-03,-129.351903E-03
-4.555440E-03,-318.530E-06,+2.923329E-03,-383.514443E-03,-109.071141E-03
-4.550445E-03,-192.877E-06,+3.004837E-03,-355.700373E-03,-64.266453E-03
