x-axis,1,2
second,Volt,Volt
-5.000000E-03,-50.817E-06,-2.755433468E+00
-4.995000E-03,-163.982E-06,-3.020295269E+00
-4.990000E-03,-164.133E-06,-2.995307831E+00
-4.985000E-03,+89.862E-06,-2.970408325E+00
-4.980000E-03,+1.570E-06,-2.936363098E+00
-4.975000E-03,-181.847E-06,-2.915420891E+00
-4.970000E-03,-89.058E-06,-2.892305291E+00
-4.965000E-03,+296.797E-06,-2.855383179E+00
-4.960000E-03,+162.625E-06,-2.831677160E+00
-4.955000E-03,+296.119E-06,-2.803724875E+00
-4.950000E-03,+25.816E-06,-2.768498745E+00
-4.945000E-03,+71.896E-06,-2.741614320E+00
-4.940000E-03,+58.631E-06,-2.707280135E+00
-4.935000E-03,+321.443E-06,-2.678649502E+00
-4.930000E-03,+110.766E-06,-2.652330379E+00
-4.925000E-03,+183.354E-06,-2.614478615E+00
-4.920000E-03,+370.791E-06,-2.585973597E+00
-4.915000E-03,+137.273E-06,-2.552870551E+00
-4.910000E-03,+196.721E-06,-2.520734912E+00
-4.905000E-03,+331.269E-06,-2.494453476E+00
-4.900000E-03,+205.841E-06,-2.456438381E+00
-4.895000E-03,-5.238E-06,-2.430521338E+00
-4.890000E-03,+279.160E-06,-2.400885602E+00
-4.885000E-03,+262.073E-06,-2.365659505E+00
-4.880000E-03,+85.915E-06,-2.338561488E+00
-4.875000E-03,-96.039E-06,-2.300973544E+00
-4.870000E-03,+159.384E-06,-2.272770056E+00
-4.865000E-03,+298.983E-06,-2.243800162E+00
-4.860000E-03,+276.897E-06,-2.208800179E+00
-4.855000E-03,+270.111E-06,-2.186702212E+00
-4.850000E-03,+79.335E-06,-2.154177008E+00
-4.845000E-03,+152.151E-06,-2.120785126E+00
-4.840000E-03,+554.662E-06,-2.098285098E+00
-4.835000E-03,+296.596E-06,-2.063435791E+00
-4.830000E-03,-10.569E-06,-2.035734872E+00
-4.825000E-03,+154.210E-06,-2.011965950E+00
-4.820000E-03,+75.512E-06,-1.974189570E+00
-4.815000E-03,+119.634E-06,-1.943247369E+00
-4.810000E-03,+173.683E-06,-1.907933243E+00
-4.805000E-03,-3.482E-06,-1.875810196E+00
-4.800000E-03,+21.923E-06,-1.847707139E+00
-4.795000E-03,-57.198E-06,-1.811651873E+00
-4.790000E-03,+359.938E-06,-1.792154495E+00
-4.785000E-03,+182.925E-06,-1.773850332E+00
-4.780000E-03,-52.400E-06,-1.735433199E+00
-4.775000E-03,+215.638E-06,-1.704993590E+00
-4.770000E-03,+110.316E-06,-1.672593982E+00
-4.765000E-03,+146.119E-06,-1.639516204E+00
-4.760000E-03,+76.192E-06,-1.617543829E+00
-4.755000E-03,-267.369E-06,-1.584591479E+00
-4.750000E-03,+166.516E-06,-1.555370503E+00
-4.745000E-03,-122.451E-06,-1.532393044E+00
-4.740000E-03,+56.217E-06,-1.495558779E+00
-4.735000E-03,-94.986E-06,-1.464465920E+00
-4.730000E-03,+92.751E-06,-1.431124072E+00
-4.725000E-03,+6.723E-06,-1.396136788E+00
-4.720000E-03,-5.463E-06,-1.372254810E+00
-4.715000E-03,-88.781E-06,-1.336651746E+00
-4.710000E-03,+114.407E-06,-1.308749876E+00
-4.705000E-03,-105.064E-06,-1.281601507E+00
-4.700000E-03,-208.865E-06,-1.244943234E+00
-4.695000E-03,-303.094E-06,-1.220320184E+00
-4.690000E-03,-229.031E-06,-1.188699446E+00
-4.685000E-03,-28.252E-06,-1.154591485E+00
-4.680000E-03,-216.421E-06,-1.130998565E+00
-4.675000E-03,-266.523E-06,-1.099088914E+00
-4.670000E-03,-373.203E-06,-1.069289990E+00
-4.665000E-03,-516.917E-06,-1.038649140E+00
-4.660000E-03,-113.380E-06,-1.001739718E+00
-4.655000E-03,-107.426E-06,-977.104075E-03
-4.650000E-03,-539.387E-06,-946.010985E-03
-4.645000E-03,-439.710E-06,-916.388015E-03
-4.640000E-03,-477.075E-06,-897.192032E-03
-4.635000E-03,-390.567E-06,-864.867697E-03
-4.630000E-03,-545.713E-06,-827.619047E-03
-4.625000E-03,-246.168E-06,-794.377779E-03
-4.620000E-03,-542.910E-06,-761.614057E-03
-4.615000E-03,-1.033356E-03,-738.284951E-03
-4.610000E-03,-525.963E-06,-705.772220E-03
-4.605000E-03,-396.392E-06,-674.340221E-03
-4.600000E-03,-718.157E-06,-650.093878E-03
-4.595000E-03,-575.291E-06,-613.096339E-03
-4.590000E-03,-506.697E-06,-585.018602E-03
-4.585000E-03,-846.974E-06,-556.840030E-03
-4.580000E-03,-741.873E-06,-519.842602E-03
-4.575000E-03,-868.283E-06,-494.315058E-03
-4.570000E-03,-1.425035E-03,-460.696797E-03
-4.565000E-03,-1.146089E-03,-430.232186E-03
-4.560000E-03,-1.238302E-03,-407.681863E-03
-4.555000E-03,-1.721158E-03,-373.196815E-03
-4.550000E-03,-2.135244E-03,-346.953317E-03
-4.545000E-03,-2.401471E-03,-323.448113E-03
-4.540000E-03,-2.505645E-03,-285.772158E-03
-4.535000E-03,-2.970928E-03,-257.706952E-03
-4.530000E-03,-3.175968E-03,-225.030941E-03
-4.525000E-03,-3.216141E-03,-190.860228E-03
-4.520000E-03,-3.453986E-03,-168.523522E-03
-4.515000E-03,-3.461421E-03,-134.540994E-03
-4.510000E-03,-3.677222E-03,-106.425637E-03
-4.505000E-03,-4.118888E-03,-83.799796E-03
-4.500000E-03,-4.147545E-03,-49.088736E-03
-4.495000E-03,-3.885315E-03,-22.254794E-03
-4.490000E-03,-4.017406E-03,+2.531858E-03
