x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.854000E-03,-256.897E-06,-225.465E-06,-2.243121340E+00,-31.702E-06
-1.852000E-03,-280.924E-06,-236.948E-06,-2.230332319E+00,-44.247E-06
-1.850000E-03,-441.395E-06,-264.008E-06,-2.217430340E+00,-177.551E-06
-1.848000E-03,-353.884E-06,-274.209E-06,-2.205370070E+00,-79.882E-06
-1.846000E-03,-333.552E-06,-267.398E-06,-2.194993255E+00,-66.367E-06
-1.844000E-03,-237.566E-06,-242.449E-06,-2.185345010E+00,+4.537E-06
-1.842000E-03,-239.028E-06,-218.780E-06,-2.175269591E+00,-20.493E-06
-1.840000E-03,-166.899E-06,-176.696E-06,-2.163033329E+00,+9.410E-06
-1.838000E-03,-38.151E-06,-138.203E-06,-2.149440320E+00,+99.613E-06
-1.836000E-03,-6.957E-06,-120.968E-06,-2.135558444E+00,+113.641E-06
-1.834000E-03,-86.538E-06,-125.917E-06,-2.123146419E+00,+39.013E-06
-1.832000E-03,-115.839E-06,-141.043E-06,-2.112380163E+00,+24.840E-06
-1.830000E-03,-100.690E-06,-165.139E-06,-2.101664038E+00,+64.052E-06
-1.828000E-03,-149.693E-06,-187.401E-06,-2.089641296E+00,+37.292E-06
-1.826000E-03,-253.580E-06,-217.350E-06,-2.076111140E+00,-36.476E-06
-1.824000E-03,-297.016E-06,-233.957E-06,-2.061035715E+00,-63.272E-06
-1.822000E-03,-257.294E-06,-226.117E-06,-2.047719212E+00,-31.414E-06
-1.820000E-03,-283.733E-06,-224.434E-06,-2.034955431E+00,-59.560E-06
-1.818000E-03,-195.539E-06,-207.700E-06,-2.022756890E+00,+11.809E-06
-1.816000E-03,-150.452E-06,-196.645E-06,-2.009804624E+00,+45.786E-06
-1.814000E-03,-209.919E-06,-208.254E-06,-1.996224216E+00,-2.070E-06
-1.812000E-03,-235.187E-06,-198.956E-06,-1.983271950E+00,-36.491E-06
-1.810000E-03,-208.858E-06,-191.771E-06,-1.972015801E+00,-17.348E-06
-1.808000E-03,-188.378E-06,-196.194E-06,-1.962367556E+00,+7.481E-06
